Survived,Sex,Name
1,female,Miss. Manca Karun
1,male,Mr. Ali Lam
0,male,Mr. Khalil Saad
0,male,Col. John Weir
0,male,Mr. Charles Henry Chapman
0,male,Mr. James Kelly
1,female,Miss. Katherine Mullens
0,male,Mr. John Borland Thayer
0,male,Mr. Adolf Mathias Nicolai Olsen Humblen
1,female,Mrs. John Jacob (Madeleine Talmadge Force) Astor
1,male,Mr. Spencer Victor Silverthorne
0,female,Miss. Saiide Barbara
0,male,Mr. Martin Gallagher
0,male,Mr. Henrik Juul Hansen
0,male,Mr. Henry Samuel Morley
1,female,Mrs. Florence Kelly
1,male,Mr. Edward Pennington Calderhead
1,female,Miss. Alice Cleaver
1,male,Master. Halim Gonios Moubarek
1,female,Mlle. Berthe Antonine Mayne
0,male,Mr. Herman Klaber
1,male,Mr. Elmer Zebley Taylor
0,male,Mr. August Viktor Larsson
0,male,Mr. Samuel Greenberg
0,male,Mr. Peter Andreas Lauritz Andersen Soholt
1,female,Miss. Caroline Louise Endres
1,female,Miss. Edwina Celia Troutt
0,male,Mr. Malkolm Joackim Johnson
1,female,Miss. Annie Jessie Harper
0,male,Mr. Svend Lauritz Jensen
0,male,Mr. William Henry Gillespie
0,male,Mr. Henry Price Hodges
1,male,Mr. Norman Campbell Chambers
0,male,Mr. Luka Oreskovic
1,female,Mrs. Peter Henry (Lillian Jefferys) Renouf
1,female,Miss. Margareth Mannion
0,male,Mr. Kurt Arnold Gottfrid Bryhl
0,female,Miss. Pieta Sofia Ilmakangas
1,female,Miss. Elisabeth Walton Allen
0,male,Mr. Houssein G N Hassan
0,male,Mr. Robert J Knight
0,male,Mr. William John Berriman
0,male,Mr. Moses Aaron Troupiansky
0,male,Mr. Leslie Williams
0,female,Mrs. Edward (Margaret Ann Watson) Ford
1,male,Mr. Gustave J Lesurer
0,male,Mr. Kanio Ivanoff
0,male,Mr. Minko Nankoff
1,male,Mr. Walter James Hawksford
0,male,Mr. Tyrell William Cavendish
1,female,Miss. Susan Parker Ryerson
0,male,Mr. Neal McNamee
1,male,Mr. Juho Stranden
0,male,Capt. Edward Gifford Crosby
0,male,Mr. Rossmore Edward Abbott
1,female,Miss. Anna Sinkkonen
0,male,Mr. Daniel Warner Marvin
0,male,Mr. Michael Connaghton
1,female,Miss. Joan Wells
1,male,Master. Meier Moor
0,male,Mr. Johannes Joseph Vande Velde
0,male,Mr. Lalio Jonkoff
1,female,Mrs. Samuel (Jane Laver) Herman
1,male,Master. Viljo Hamalainen
0,male,Mr. August Sigfrid Carlsson
0,male,Mr. Percy Andrew Bailey
0,male,Mr. Thomas Leonard Theobald
1,female,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes
0,male,Mr. John Garfirth
0,male,Mr. Iisakki Antino Aijo Nirva
1,male,Mr. Hanna Assi Barah
1,female,Mrs. William Ernest (Lucile Polk) Carter
0,male,Mr. Hans Linus Eklund
1,female,Mrs. John C (Anna Andrews) Hogeboom
0,male,Dr. Arthur Jackson Brewe
0,female,Miss. Mary Mangan
0,male,Mr. Daniel J Moran
0,male,Mr. Daniel Danielsen Gronnestad
0,male,Mr. Rene Aime Lievens
0,male,Mr. Niels Peder Jensen
0,female,Mrs. (Mary) Mack
0,male,Mr. Dibo Elias
1,female,Mrs. Elizabeth (Eliza Needs) Hocking
0,male,Mr. Pehr Fabian Oliver Malkolm Myhrman
0,male,Mr. Roger Tobin
1,female,Miss. Virginia Ethel Emanuel
0,male,Mr. Thomas J Kilgannon
1,female,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert
1,female,Miss. Banoura Ayoub
1,female,Mrs. Albert Adrian (Vera Gillespie) Dick
0,male,Mr. Milton Clyde Long
0,male,Mr. Andrew G Johnston
0,male,Mr. William Ali
0,male,Mr. Abraham (David Lishin) Harmer
1,female,Miss. Anna Sofia Sjoblom
0,male,Master. George Hugh Rice
1,male,Master. Bertram Vere Dean
0,male,Mr. Benjamin Guggenheim
0,male,Mr. Andrew Keane
0,male,Mr. Alfred Gaskell
0,female,Miss. Stella Anna Sage
0,male,Mr. William Fisher Hoyt
0,male,Mr. Ristiu Dantcheff
0,male,Mr. Richard Otter
1,female,Dr. Alice (Farnham) Leader
1,female,Mrs. Mara Osman
0,male,Mr. Yousseff Ibrahim Shawah
0,female,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe
0,male,Mr. Martin Ponesell
1,female,Mrs. Harvey (Charlotte Annie Tate) Collyer
1,male,Master. William Thornton II Carter
1,male,Master. Assad Alexander Thomas
1,male,Mr. Oskar Arvid Hedman
0,male,Mr. Karl Johan Johansson
0,male,Mr. Thomas Jr Andrews
0,female,Miss. Ellen Natalia Pettersson
0,male,Mr. August Meyer
1,female,Mrs. Norman Campbell (Bertha Griggs) Chambers
0,male,Mr. William Alexander
0,male,Mr. James Lester
0,male,Mr. Richard James Slemen
0,female,Miss. Ebba Iris Alfrida Andersson
0,male,Mr. Ernest Portage Tomlin
0,male,Mr. Richard Fry
0,female,Miss. Wendla Maria Heininen
0,male,Mr. Albert Mallet
0,male,Mr. John Fredrik Alexander Holm
0,male,Master. Karl Thorsten Skoog
1,female,Mrs. Charles Melville (Clara Jennings Gregg) Hays
1,male,Mr. Nikola Lulic
0,male,Jonkheer. John George Reuchlin
1,female,Mrs. (Beila) Moor
0,male,Master. Urho Abraham Panula
0,male,Mr. John Flynn
0,male,Mr. Len Lam
1,male,Master. Andre Mallet
1,male,Mr. Thomas Joseph McCormack
1,female,Mrs. George Nelson (Martha Evelyn) Stone
1,female,Mrs. Antoni (Selini Alexander) Yasbeck
1,male,Master. George Sibley Richards
0,male,Mr. Amin Saad
0,male,Mr. Albert Augustsson
0,male,Mr. Owen George Allum
1,female,Miss. Sara Rebecca Compton
0,male,Mr. Jakob Pasic
0,male,Mr. Maurice Sirota
1,male,Mr. Chang Chip
1,male,Mr. Pierre Marechal
0,male,Mr. Ilmari Rudolf Alhomaki
0,male,Mr. Thomas Charles Mudd
1,female,Miss. Augusta Serepeca
0,male,Mr. Peter L Lemberopolous
0,male,Mr. Jeso Culumovic
0,male,Mr. Anthony Abbing
0,male,Mr. Douglas Bullen Sage
0,male,Mr. Marin Markoff
0,male,Rev. John Harper
1,female,Mrs. Samuel L (Edwiga Grabowska) Goldenberg
0,male,Master. Sigvard Harald Elias Andersson
0,male,Mr. Johan Svensson
0,female,Miss. Nourelain Boulos
1,female,Miss. Mary Conover Lines
0,female,Mrs. Ernest Courtenay (Lilian Hughes) Carter
1,female,Mrs. Sam (Leah Rosen) Aks
1,female,Mrs. George Dennick (Mary Hitchcock) Wick
1,male,Mr. Peter Denis Daly
1,female,Mrs. Solomon (Latifa Qurban) Baclini
0,male,Mr. Raihed Razi
0,male,Mr. Claus Peter Hansen
0,male,Mr. Frederick Edward Giles
1,female,Mrs. Frederick Joel (Margaret Welles Barron) Swift
0,female,Miss. Dorothy Edith Sage
0,male,Mr. John William Gill
1,female,Mrs. (Karolina) Bystrom
1,female,Miss. Asuncion Duran y More
0,male,Mr. Washington Augustus II Roebling
0,male,Mr. Philemon van Melkebeke
1,male,Master. Harold Theodor Johnson
0,male,Mr. Cerin Balkic
1,female,Mrs. Richard Leonard (Sallie Monypeny) Beckwith
0,male,Mr. Frans Olof Carlsson
0,male,Mr. Victor Vander Cruyssen
1,female,Mrs. Samuel (Hannah Wizosky) Abelson
1,female,Miss. Adele Kiamie Najib
0,male,Mr. Alfred Ossian Gustafsson
0,male,Mr. Nedelio Petroff
0,male,Mr. Kristo Laleff
1,female,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter
1,female,Mrs. William (Imanita Parrish Hall) Shelley
0,male,Mr. Johann Markun
0,female,Miss. Gerda Ulrika Dahlberg
0,male,Mr. Frederick James Banfield
0,male,Mr. Henry Jr Sutehall
0,female,Mrs. William (Margaret Norton) Rice
0,male,Rev. Juozas Montvila
1,female,Miss. Margaret Edith Graham
0,female,Miss. Catherine Helen Johnston
1,male,Mr. Karl Howell Behr
0,male,Mr. Patrick Dooley
