"Company","count"
"New Horizons Finance Company, Inc",1
"American Receivables Agency, LLC",2
"B&B Funding, LLC",3
"FIRST US CAPITAL LLC",2
"BULBUL INVESTMENTS LLC",1
"US Mortgage Resolution LLC",3
"ODYSSEY FUNDING LLC",1
"Spec Hoffman Auto Sales Inc.",1
"Jet Lending Inc.",2
"Meyer & Kerschner, Ltd.",1
"MWS Financial Services LLC",2
"Currencies Direct Inc.",1
"Federated Student Loan Services",3
"United Compliance Services, LLC",7
"ZenResolve, LLC",5
"Rno Partners Limited",1
"Family Credit Management",1
"Community Home Lending",2
"Ray Skillman Chevrolet Inc",3
"Collaborative Resolution Group",5
"Caroline Peters Belsom, Attorney at Law, LLC",1
"WT Capital Lender Services, a California Corporation",1
"ALKAN MORTGAGE CORPORATION",1
"Three B Financial, LLC",1
"American Tax Holding LLC",3
"Riverside Mortgage Group, LLC",3
"Academy Mortgage Corporation (NY)",1
"Capital Collections, LLC",1
"Uplift, Inc",5
"Keystone Mortgage Group LLC",1
"Poole Mahoney PC",1
"CONTINENTAL MORTGAGE BANKERS",2
"Utah Billing & Recovery Services",3
"GMH Associates Inc.",5
"RUSH COLLECTIONS AGENCY, CORP.",2
"Canyon Mortgage Corp.",2
"Kass Shuler, P.A.",5
"Richard P. Joblove, P.A.",1
"Hawk Inc",5
"Howard Howe Attorney at Law",1
"TCF & ASSOCIATES",2
"Mortgage Lender Services, Inc.",1
"Missouri Loan Center LLC",2
"White Jacobs & Associates",5
"K Street Finance, Inc.",3
"National Auto Group LLC",2
"Neighborhood Capital Funding, Inc.",1
"Jet Cash Funding Inc.",1
"Student Loan Freedom, LLC",2
"LYON SERVICES CORPORATION",2
"Zip Capital Group, LLC",2
"Pharus Funding LLC",1
"Limetree Lending, Inc.",1
"American Mortgage Services,  Inc",1
"Global Check Recovery, INC",4
"Alpha Title, LLC",1
"Luna Financial LLC",1
"Pennsylvania Auto Credit, Inc.",1
"Wilson Law. LLC",1
"LoanLeaders of America, Inc.",2
"Purpose Funding Inc.",1
"AMERICAN MORTGAGE AND INVESTMENT SERVICES, INC.",1
"Student Loans Consolidated, Inc",3
"PREMIUM MORTGAGE CORP",3
"Doberman Credit & Collection Consultants, LLC",1
"The CKB Firm, P.C.",2
"BOVA Financial Group LLC",1
"SVB FINANCIAL GROUP",3
"Ballato Law Firm, P.C.",4
"Atlantic Mortgage Direct LLC",2
"Burns & Carlisle, Inc.",1
"Frontline Financial, LLC",1
"NEVADA MORTGAGE",1
"National Foreclosure Rescue Center",1
"Vericheck",1
"Los Angeles Collection Service, Inc.",4
"PRODIGY MORTGAGE CORP",2
"Rivertown Credit LLC",1
"AARON DELGADO AND ASSOCIATES INC",3
"Poser Investments, Inc.",4
"Prospect Financial Group, Inc",6
"High Performance Capital",5
"AGORA NOTUS, LLC",3
"Inheritance Funding Company, Inc.",1
"M3 Mortgage Specialists, Inc",1
"StanleyAFE, LLC",1
"Beach Cars of West Palm Inc.",1
"HFS Financial Services, LLC",1
"CRE Credit Services",1
"Cal-Tenn Financial LLC",1
"Oplis Financial LLC",1
"O.D. REI, Inc",1
"West One Capital Group Inc.",1
"TDF Financial Services, Inc.",2
"Nationwide Recovery Group LLC",1
"Boich Law Offices",1
"Amati & Associates LLC",3
"General Recovery Services of WV, Inc.",2
"AMERICAN PORTIFOLIO MORTGAGE",7
"Texan Financial Services Inc",2
"AMERICAN FINANCIAL MORTGAGE COMPANY",3
"Mortgage One Solutions, Inc.",1
"Ewing & Ewing Attorneys, P.C.",4
"Capehart & Scatchard PA",1
"Executive Lending Group, LLC",1
"J & B Endeavors, LLC",6
"PEMBROKE FINANCE, INC.",1
"GENEQUITY MORTGAGE",1
"Reverse Mortgages.com, Inc.",2
"SCSM, Inc. dba ABC Collectors, Inc.",1
"Resurgence Capital, LLC",2
"The Rickel Law Firm, P.C.",1
"Premier Lending and Real Estate",2
"Public Title Services, LLC",1
"The DeGrasse Law Firm, P.C.",9
"Crossman Portfolio Management",1
"Personal Finance Center",2
"Patriot Finance, LLC",5
"Szuba & Associates, PLLC",1
"Revenue Systems, Inc.",1
"Mann & Carducci Co., LPA",1
"Goodman Law PLLC",1
"Advantage Financial Services, LLC",2
"F & S Financial Marketing, Inc.",3
"FMK Credit Education Center, INC",1
"Direct Mortgage Loans, LLC",2
"The Singer Law Group",1
"INTERFIRST LENDING CORPORATION",1
"Baird Home Corporation",2
"Legal Recovery Specialists LLC",1
"Atlas Acquisitions LLC",2
"STME LLC",1
"South West Recovery, Inc.",5
"COLUMBIA BANKING SYSTEM, INC.",10
"Georgia Receivables, Inc.",2
"FERRANTE ASSOCIATE",1
"Westport Recovery Corporation",1
"INTERIM CAPITAL GROUP, INC.",2
"National Recovery Services LLC",8
"Moneylink Mortgage, Inc.",1
"MTH LENDING GROUP LP",1
"Frontier Financial Inc.",2
"JAMES A. MOUNGER, PLC",2
"Hawes Klein LLC",1
"Ripple Labs Inc.",1
"FISHER FINANCIAL GROUP, INCORPORATED",5
"VIAMERICAS CORPORATION",6
"STATEWIDE AUTO SALES",6
"Birchwood Credit Services, Inc.",4
"Meridian Title  Corporation",1
"Able Mortgage",2
"Community Lending of America, Inc.",1
"BCG Equities, LLC",2
"N&S Partners",6
"HR MORTGAGE CORPORATION",2
"Patrick Scanlon P.A.",4
"Campos Financial Corp.",2
"Green Mountain Capital, LLC",6
"Kirschbaum, Nanney, Keenan & Griffin, P.A.",4
"Law Offices of Stage & Associates PA",1
"AAA COLLECTORS, INC.",2
"Midwest Credits, Inc.",1
"ONLINE MORTGAGE GROUP",1
"American Professional Collections",3
"LAW OFFICES OF RANDALL L. PRATT, P.C.",1
"FINANCIAL FREEDOM MORTGAGE INC",2
"Hunt Leibert Jacobson, P.C.",4
"Economic Recovery Consultants, Inc",2
"Approved Mortgage Corporation",2
"Consumer Receivables Management LLC",1
"TCN Inc",2
"MBO Holdings Corp.",1
"Insta-Credit Auto Mart, Inc. dba InstaCredit Automart",3
"Ideal Direct Solutions",2
"All Kind Check Cashing, Inc.",2
"CENTENNIAL LENDING GROUP LLC",1
"Maitland Capital Funding",3
"Burns, Burns, Walsh & Walsh, PA",3
"HOUSTONIAN MORTGAGE GROUP, INC.",2
"Isla Repossesions & Collection Inc",2
"Professional Recovery Associates, Inc.",3
"Magnum Association Services",1
"Neighborhood Autos, LLC",1
"MORTGAGE FINANCIAL SERVICES, INC",2
"Coastal Finance Company, Inc.",10
"Advance Paychecks,  LLC",2
"Payday Loan, LLC (CA)",3
"PNK INVESTMENTS, LLC",1
"Thomas Law Firm, P.C.",1
"VANDERHEYDEN LAW OFFICE, P.A.",1
"Aspen Properties Group, LLC",3
"Consumer Defense Group, LLC",1
"Burke Costanza & Carberry LLP",3
"Flat Branch Mortgage, Inc.",4
"US Gold Cards Inc",2
"FS Card Inc.",3
"GSA Commercial Asset Management",4
"One Way Loans LLC dba PowerLend",3
"Integrity Home Mortgage and Finance, Inc.",1
"Parnell & Parnell, PA",5
"Evans & Mullinix, PA",1
"CITY CREEK MORTGAGE CORP.",1
"CNP Solutions",2
"The Collection Agency LLC",1
"Kauntey Mediation Services LLC",5
"Dynamic Dedicated Financial Partnerships",4
"Peritus Portfolio Services II LLC",2
"Opensky Legal Services",2
"Lipsky & Associates, Inc",3
"Mathew Aaron Holdings Inc.",2
"Headwaters Financial Corp.",1
"Alternative Revenue Systems, Inc",4
"Streamline Financial Group, Inc.",1
"Groundfloor Finance Inc.",2
"Intercounty Mortgage Network Corp.",1
"Amerifinance, Inc.",5
"BAY VALLEY",1
"Northern Resolution Services",2
"Holiday Finance Corporation",2
"Cosmo Credit Repair",2
"Cashco Financial Services, Inc",1
"ATLANTIC COAST MORTGAGE LLC",2
"Jensen & Sullivan, LLC",1
"Acer Capital Recovery LLC",1
"Ciconte Wasserman Scerba & Kerrick, LLC",1
"Ray Skillman Ford Inc",2
"MANHATTAN FINANCIAL GROUP, INC",1
"J&J Financial Services LLC",1
"Signature Mortgage Inc of Indiana",1
"Elmview Management Services",2
"MTACC Inc.",2
"Concorde Land Title Services, Inc.",1
"Howell & Vail, LLP",4
"Finco Holding Company LLC",7
"National Credit Processing Inc.",3
"Palisades Funding Corporation",4
"Panteris & Panteris, LLP",1
"HomeTown Lending Partners, LLC",1
"Southern Freedom Financial Services, LLC",2
"Arco Collection Services LLC",2
"Grassland Financial Services, LLC",2
"International Collection Corporation",1
"Receivables Management Associates, Inc.",1
"MORTGAGE INVESTORS GROUP",5
"Ygrene Energy Fund Inc.",4
"Burns Auto Credit, LLC",1
"Longbridge Financial, LLC",4
"David N. Hull Attorney at Law P.C.",2
"RSR & ASSOCIATES INC.",2
"LoanStar Home Lending",2
"Student Loan Discharge Options LLC",1
"Commercial and Medical Credit Services",1
"Option Funding, Inc.",2
"T & I Enterprises, LLC",2
"JBS Finance, Inc.",2
"Credit Connection LLC",1
"R3 Processing",3
"FTA Financial LLC",1
"Millennium Credit Consultants Inc.",6
"ABA Recovery Service, Inc.",1
"ONE WAY RECOVERY SOLUTIONS, LLC",1
"Gary L. Brueggeman, Attorney at Law",1
"Sunset Solutions Group, LLC",5
"Dodge Enterprises Inc.",2
"Mid-American Financial Group, Inc",2
"New Southern Loans, Inc",3
"Auto Credit of Southern Ilinois",3
"REMAX",2
"Jemcap LLC",5
"FIDELITY FUNDING MORTGAGE CORPORATION",1
"HAMILTON GROUP FUNDING, INC.",10
"The Wilber Law Firm, P.C.",9
"Resolve Solution Services Corporation",2
"K Rockford LLC",1
"Bureau of Medical Economics of Santa Clara County",3
"Coconut Point Finance",1
"Underwood James and Associates LLC",3
"FRIENDLY FINANCE DISCOUNT CORPORATION",2
"Diamond Funding Corporation",4
"Aurora Enterprises, Inc.",6
"Mesce Associates, Inc.",1
"Olympia Title & Escrow Corporation",1
"DLG LLC",2
"Thomas F. Farrell, P.C.",4
"MDE HOME LOANS, LLC",1
"Offices of Stein and Meyer",3
"Credit Information Bureau, Inc.",7
"Taurus Law Group, P.C.",6
"Demorest Group, LLC",1
"Activity Collection Service",4
"JPL Recovery LLC",3
"Chek Cash, Inc.",5
"Reliable Auto Finance, Inc.",4
"Cuzco Capital Investment Management",2
"First Reliance Holdings LLC",5
"Vonda J. Dunn, P.C.",3
"Maryland Mutual Mortgage, LLC",2
"Michael Scott Cohen LLC",1
"Independent Dealers' Advantage, LLC",8
"LAW OFFICES OF MICHAEL K. SIPES",3
"Richard J. Murphey, Attorney at Law",1
"World Wide Pay Day Advance, Inc",1
"USForex Inc.",5
"Accurate Financial Services",1
"AMERICAN FEDERAL MORTGAGE CORPORATION",5
"Buffalo Auto Acceptance Corp.",1
"Commercial Industries Services Company, Inc.",2
"Alisa Katz Campbell, P.C.",2
"NSH Partnership",1
"Small & Small, Attorneys PLLC",1
"Tavelli Co., Inc. dba Tavco Credit Services",2
"RMI Services, LLC",9
"Lending Hand Mortgage, LLC",2
"MASON MCDUFFIE MORTGAGE CORPORATION",4
"Cash Security, Inc.",5
"Smith & Smith Investors LTD",7
"ALLTRAN FINANCIAL, LP",1
"Efron & Efron, Professional Corporation",2
"Ideal Lending Solutions, Inc.",1
"PMMC and Associates, LLC",3
"FIRST ALLIANCE HOME MORTGAGE",3
"CENTURY MORTGAGE COMPANY",6
"Robert L. Tankel, P.A.",3
"Strategic Dealer Services",2
"Lucie, Scalf, Sutton & Bougher, Attorney At Law",2
"PERL MORTGAGE",6
"Legacy Customer Management Group, LLC",6
"National Account Systems of Madison, Inc",1
"SHD Legal Group, P.A.",4
"Jones Law Group, LLC",1
"TOWNE MORTGAGE, LLC",6
"WELCOME HOME FINANCE",1
"C2 Financial Corporation",3
"Bizcorp, LLC",3
"Liberty Loan Co inc.",4
"ALPHA MORTGAGE CORPORATION",1
"Fulkerson Wing, P.C.",1
"Nevada Professional Collections Texas",3
"Edmonds & Logue PC",1
"Emergent Business Group,Inc.",3
"HANCOCK WHITNEY BANK",266
"Debt Management Holdings LLC",5
"8 Investments Corporation dba MediComm",3
"United Mutual Funding Corp",1
"CalLoan Corp",2
"Deatrick & Spies PSC",6
"Alpine Capital Investments, LLC",1
"Tiempo Finance Company Inc",4
"RWLS Mortgage LLC",2
"FINANCIAL INSIGHT",1
"ACCORD CREDITOR SERVICES, LLC",2
"T.J. FINANCIAL, INC.",1
"FAIRWAY FUNDING GROUP, INC",3
"Courtesy Finance LLC",4
"Metro Capital Mortgage Corporation",1
"WESTERN OHIO MORTGAGE",1
"Fairfax Consolidated, LLC",3
"WEBER & ASSOCIATES, INC.",5
"Square One Financial, LLC",4
"Thomas George Associates, Ltd.",7
"Mountain West Legal Solutions, PLLC",4
"1st Midwest Mortgage Corp",2
"Midwest Bankers Mortgage Services, Inc",1
"Woodlands Financial Services Inc",2
"HomeKey Lending, LLC",1
"PATRICK A. CAREY, P.A.",3
"Priority Financial Services",3
"Car Cage Motors Inc",1
"The Grogan Law Group, LLC",4
"L.B.Gray LLC A Debt Collection Agency",7
"Cardinal Accounts, Inc.",5
"Student Aid Experts",2
"JAN (LendUSA) Holdings, Inc.",8
"LITHIA MOTORS INC.",2
"RP Field Services LLC",1
"PNB INTERNATIONAL INVESTMENTS CORPORATION",5
"PPCC, Inc. dba Allied Collection Resources, Inc.",1
"Associated Management Company Inc",2
"WILLOW BEND MORTGAGE",5
"McGlinchey Stafford PLLC",2
"Elsea Financial Services Inc.",1
"Glacier Bancorp Inc.",17
"Professional Receivable Solutions",4
"Town & Country Acceptance Corporation",4
"Dana & Pariser Co.,L.P.A.",5
"William A. Hecht, P.C.",1
"MORTGAGE 4 U LLC",1
"RMCN Credit Services, Inc.",2
"Bayfield Financial, LLC",3
"WFI Funding Inc",2
"C&H INVESTMENTS, INC.",1
"COAST 2 COAST FUNDING GROUP",4
"xCoins, Inc.",1
"Capture Financial, LLC",2
"Nudge Funding, LLC",3
"MCI Mortgage Inc",1
"Lang, Richert & Patch",5
"Service Investment Company, Inc.",1
"Auto Now Financial Services, Inc.",13
"GUIDANCE RESIDENTIAL, LLC",5
"NEIGHBORHOOD HOUSING SERVICES OF CHICAGO INC",3
"Nexera Holding LLC",1
"BLACK HILLS CHILDREN'S RANCH, INC.",2
"Credit Bureau of Farmington, Inc",3
"Easy Finance, LLC",4
"Nu World Title, LLC",4
"OMNI MORTGAGE CORP.",2
"ONY GLO, INC.",4
"Legacy Credits",2
"Billco, Inc",1
"Meadowbrook Financial Mortgage Bankers Corp.",5
"Daramad LLC",1
"Clifton Mortgage Services, LLC",2
"VICTORY MORTGAGE, LLC",1
"SEB Legal, LLC",1
"American Mortgage Investment Partners Fund I Trust",7
"Grandeagle Financial, LLC",3
"Redfin Mortgage, LLC",1
"HFG HOLDINGS, LLC",1
"BANNER CORPORATION",8
"JLU Asset Management Group LTD",7
"VanVorst Law Firm, PLLC",1
"FAN Distributing, LLC",3
"Investigation & Recovery Assoc. LLC",3
"Bailey Automotive Finance Inc.",3
"ADVANTAGE RECOVERY SERVICES, INC.",2
"JOHNSON MORTGAGE COMPANY, LLC",1
"THE MONEY HOUSE, INC.",4
"C & A Mortgage Services of Florence, Inc.",1
"LMS Services, Inc.",4
"Cornerstone Legal Group, LLC",5
"Garrison Law Office L.L.C.",2
"CSO Financial",28
"Preferred Capital Funding of Illinois, LLC",3
"Butler, Butler & Rowse-Oberle, P.L.L.C.",1
"Prepaid Ventures, LTD",4
"1st United Funding, LLC",1
"NRG STX Properties, LLC",2
"DREES COMPANY, INC.",3
"Brown Olcott, PLLC",9
"Auto Trakk, LLC",74
"Omnipoint Capital",5
"Benn Realty Services, Inc.",1
"Dealer Finance of Western Kentucky",2
"TSG Collections, LLC",4
"Consumer Attorneys of America, P.A.",1
"Horizon Financial Group, Inc.",1
"The Cooper Mediation Firm LLC",3
"Allied Fidelity Services, LLC",5
"Kaiter Enterprises Inc.",1
"Xapo, Inc.",1
"IVAN BROWN",1
"North Capital Recovery Services",3
"Prospect Recovery Solutions LLC",5
"RK Chevrolet Subaru",1
"Americor Funding, Inc",19
"Proscript media and advertising services, llc DBA Bank Rover",1
"Evesham Mortgage, LLC",3
"Carfast Financial Holdings",1
"Tesani Management Inc",4
"Cashbak, LLC",2
"Michigan Legal Specialists, P.C.",2
"The Accounts Retrievable System, Inc.",3
"Associates International Holdings Corporation",2
"C & E Financial Group, Inc.",2
"Law Offices of Snyder & Associates, LLC",1
"VELO LAW OFFICE",7
"Elite Student Solutions",3
"SHAPIRO LAW OFFICE, PC",2
"PLEASANT VALLEY HOME MORTGAGE",13
"Ogden Holdings, LLC",2
"H & S Financial, Inc.",5
"Morningside Funding LLC",1
"MORTGAGE EXPRESS, LLC",2
"Central Atlantic Legal Group, PLLC, t/a Booth, Strange & Daniel",3
"Premia Mortgage, LLC",3
"Cars America Inc.",1
"WALL STREET MORTGAGE BANKERS",7
"Web Source Market LLC/DBA Collection Shield 360",3
"PARAGON REVENUE GROUP",1
"RESOURCE PRO",2
"Southeast Finance Inc.",5
"KIRKSTON MORTGAGE LENDING LLC",2
"Loantopia",4
"Pendleton & Sutton LLC",3
"CBS Collections, Inc",6
"LoanNow, LLC  (Closed)",4
"Business Law Group, P.A.",7
"Howard L. Stomel, A Professional Corporation    AKA  Law Offices of  Howard L. Stomel",1
"Schiller & Adam, P.A.",1
"Professional Collectors Corp.",2
"Accelerated Revenue, Inc.",1
"REARDEN S INCORPORATED",1
"PinReid, LLC",2
"Gotham Collection Services Corp.",7
"Aristocrat Title, LLC",1
"Simpson Law Firm, P.A.",8
"Douglas L. Brooks, PC",2
"Bastion Consumer Funding I, LLC",3
"Henry Andrew Schmidt III",1
"SBG Financial",2
"PARKS TITLE COMPANY",4
"APO LLC",2
"SIGNATURE MORTGAGE CORPORATION",1
"Multi-Financial Services, Inc.",5
"MORTGAGE MASTER SERVICE CORPORATION",1
"Hellmuth & Johnson, PLLC",2
"Neiman, Stone & McCormick , P.C.",3
"Consumer Financial Services Solutions, Inc.",1
"Windermere Mortgage Services Series LLC",3
"U DRIVE ACCEPTANCE CORPORATION",1
"ADVANCE MORTGAGE & INVESTMENT",1
"Uniquity Financial, LLC",1
"Gulf States Financial, L.L.C.",1
"CENTURION IV LLC",3
"American Debt Consolidation",4
"Lakeview Mortgage Inc.",1
"Victor, Inc.",1
"Sagal, Filbert, Quasney & Betten P. A.",2
"MMMM Holdings, LLC",2
"NDS, LLC.",2
"Graystone Funding Company, LLC",3
"HONOLULU HOMELOANS, INC.",3
"Advansse, Inc",1
"Allied Data Corporation",4
"PRICE FINANCIAL SERVICES",2
"BROCKELBANK INC",2
"ACCOUNT SERVICES INC.",3
"Concorde Auto Management, LLC  DBA  Concorde Auto Acceptance",6
"Noam J. Cohen, PA",1
"Crystal Motorsports, LLC",3
"Secured Marketing Concepts Corp.",1
"American Fidelity Mortgage Services, Inc.",1
"Performance SLC",4
"Credit Council Corp",1
"DMA Financial Corp.",1
"ADVANCED DEBT COLLECTION, INC.",3
"Gershfeld Law Group, P.C.",1
"Right Key Mortgage, LLC",1
"INTEGRA SERVICING, LLC",1
"Market Place Mortgage Corp.",3
"CNJ Enterprises LLC DBA Legal-Bay LLC",1
"D'Aquila, Contreras and Vega, A Professional Law Corporation",1
"Coastal Capital Processing, LLC",2
"CreditGUARD of America, Inc.",2
"Associates Financial Solutions Inc",1
"The Law Firm of Ryan E. Calef and Associates, LLC",4
"North Idaho Credit Corporation",4
"Integras Capital Recovery LLC",2
"Automotive Funding Group, Inc",2
"American Credit Exchange, Inc",5
"AmOne Corp.",2
"The Sayer Law Group, P.C.",1
"ALL FAMILY FINANCE, LLC",2
"Bill.com, LLC",2
"The Check Cashing Place, Inc.",3
"National Cash Lenders, LLC",1
"Credit Bureau of Howell County, LLC",2
"PRACTICAL VENTURES, LLC.",1
"Sportsman's Credit, LLC",1
"Kovach Law Firm, PLLC",2
"Mills Escrow Company",3
"American Northwest Recovery Solutions Inc",2
"March Motors, Inc.",1
"Pangaea International Receivable Services Inc.",4
"Bayside Recovery Services, Inc.",1
"LANDMARK ACCOUNTS, INC",1
"1ST FINANCIAL, INC.",5
"SOUTH EXCHANGE, INC",1
"PMT Solutions, LLC.",13
"SmartCredit LLC",1
"Elevate Recoveries, LLC",5
"NorthShore Financial, L.L.C.",1
"Bay to Bay Lending LLC",1
"Absolute investment Group",1
"FIRST CENTENNIAL MORTGAGE CORP",5
"Wise Finance, LLC",2
"Fairway Consumer Discount Company",1
"AMERICAN SECURITY MORTGAGE CORPORATION",1
"Coast2Coast Mortgage, LLC",1
"Fairfield Services M, LLC",1
"PERLAND TITLE & ESCROW SERVICES CORP",1
"Schiller & Knapp, LLP",7
"Bernhardt and Strawser, P.A.",6
"Complete Collection Services Inc.",8
"Advantage Credit Bureau Inc.",2
"Sklar Law LLC",5
"Keaveney Legal Group, LLC",5
"Sands Recovery Group",2
"Climb Credit Inc.",10
"Clear Title Solutions, Inc.",1
"SENTE MORTGAGE",2
"Klarna AB",14
"Excel Realty & Mortgage, Inc.",1
"BROADVIEW MORTGAGE CORPORATION",1
"GET A RATE LLC",2
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",23
"James W. Crocker, PC",1
"S&N Debt Solutions, LLC",8
"Wagner Financial Services, Inc.",1
"Lansing Professional Business Bureau,Inc",3
"TRICO FINANCIAL SERVICES, LLC",3
"American Reporting Company",2
"NORTHRIM CAPITAL INVESTMENTS CO.",1
"VanKeef Financial LLC",1
"Partridge Snow & Hahn LLP",1
"Dunlap Gardiner LLP",6
"Point Boosters",2
"Credit Services, Inc.",3
"WCS LENDING, LLC",9
"CRL Home Loans",1
"R&R Medical Billing, Inc.",1
"United Mortgage,  LLC",2
"Aries Loans Inc",1
"Auto Credit Corporation of Jonesboro, iNC.",1
"United Credit Education Services",3
"Great Lakes Home Mortgage, Inc.",2
"EXCEL FINANCE COMPANY",6
"Nelson, Cooper & Ortiz, LLC",3
"Creekside Finance, Inc.",2
"Origen Financial Services LLC",3
"Russell P Goldman PC",2
"Prime Business Service, LLC",8
"Integrity Group Inc",5
"Money Tree Lending",1
"Goldman Asset Services, INC",1
"Cohen, Roberts & Associates, LLC",4
"Miguel A. Maza & Associates, PSC",2
"Lockhart Mediation Services",6
"MAC5 Mortgage, Inc.",1
"Advanced Recovery Systems, Inc. (PA)",4
"LHM FINANCIAL DBA CNN MORTGAGE",3
"Dirick, Inc.",1
"Garden State Check Cashing Service, Inc.",2
"Styner Enterprises, Inc.",1
"Roberts Markel Weinberg Butler Hailey PC",2
"Premier Consumer Credit Counseling, Inc.",3
"JKS Mortgage, LLC",1
"WD Global Group, LLC",3
"Credible Labs Inc.",3
"SpeedyCash, Inc.",4
"Ross, Stuart & Dawson Inc",3
"SMB Enterprises, LLC",1
"Miller Investment Group, Inc DBA AutoNow",1
"BAV Solutions, LLC",2
"Charter Financial Services, Inc.",2
"Federal Trade Commission",3
"Locate Source America, LLC",3
"Cycleone Financial Group",1
"Personal Asset Recovery, LLC",1
"Granite Bay Acceptance Inc.",2
"JSZ Financial Co., Inc.",8
"National Capital Solutions",1
"Century Financial Group",1
"Lexington Consumer Advocacy, LLC",7
"Atkins & Ogle Law Offices, LC",4
"Digital Currency Services Inc.",1
"Freeborn & Peters LLP",1
"I. C. Unlimited, Inc.",1
"Consumer Credit Counseling Service of San Francisco",1
"CLS Mortgage Inc.",1
"Daiyaan, Inc",1
"Law Office Of Phillip G. Krueger",1
"Landmark Mortgage LLC",1
"Credit Adjustment, Inc",3
"BANKERS MORTGAGE CORPORATION",4
"NorthStar Settlement Services, LLC",2
"Retail Recovery Service N. J., Inc.",2
"Associates Title, Inc.",2
"ERO LENDING,LLC",1
"Northtown Capital Services Group LLC",1
"David E. Gray Attorney at Law LLC",1
"Mundt Law Group, LLC",2
"WHOLESALE CAPITAL CORPORATION",2
"Bierer Law Group, PA",2
"National Finance Company, Inc.",2
"Sterling & Associates, LLC",15
"Law Office of Regent and Associates",7
"Andy Bowers & Associates LLC",1
"Andover Auto Sales, Inc. D.B.A. Broadway Auto Mall",1
"Receivable Management Inc.",5
"Kason Credit Corporation",1
"STATE FINANCE COMPANY",9
"Pacific Credit Services, Inc.",3
"Paragon Home Loans, Inc",2
"ADF Automotives LLC",1
"RENASANT CORPORATION",18
"S.O.S. Loans, Inc.",3
"Credit Diva of Dallas Inc.",1
"Western Benefits Group, LLC",10
"Credit Resolutions, LLC",4
"Car Credit Solutions, Inc.",1
"Cross State Motors, LLC",1
"Stern & Stern. P.C.",7
"HomeQuest Mortgage Corporation",1
"F&M Mortgage Group, LLC",2
"Williams Starbuck",2
"Vanguard Financial Services, Inc.",4
"Greyhound Capital Group LLC",3
"Ernst, Ernst & Artmann, Inc.",3
"TriStar Mortgage Corp",2
"ZOA, LLC",10
"J. B. Collections",1
"ADESA CORPORATION",1
"COMPASS MORTGAGE, INC.",3
"Roost Lending, Inc.",1
"Scott and Goldman, Inc.",2
"Advent Financial Systems, LLC",2
"JOSEPH R. HARRISON CO. LPA",2
"American Preferred Lending",2
"Montgomery & Meyers P.A. Corporation",7
"Thaddeus Bechtle Attorney at Law, LPC",2
"Schrier & Tolin, LLC",5
"MLB Residential Lending, LLC",5
"MEDALLION MORTGAGE COMPANY",4
"Medical Debt Recovery, Inc.",1
"Azcar Capital, Inc.",1
"Debt Restoration Services",3
"Leedom Management Group, Inc.",1
"Codilis & Stawarski, P.C.",2
"Zenith Financial & Insurance Solutions Inc.",1
"BLUFI LENDING CORPORATION",6
"Logan View LLC",5
"Educational Opportunity",2
"UNIVERSAL TECHNICAL INSTITUTE",6
"Creditors' Service Bureau of Niles, Inc",4
"Hometown Mortgage Services, Inc.",2
"MARKET MORTGAGE COMPANY, LTD.",3
"National Medical Administrators, Inc",6
"Flagstone Financial Services, Inc.",2
"Loansmart Inc.",1
"Bakalar & Associates, P. A.",1
"West Virginia Housing Development Fund",6
"Value Auto Mart Inc.",2
"Kabompo Holdings, Ltd.",2
"Manufacturers Acceptance Corp.",1
"Bonded Collectors of Wisconsin, Inc",5
"Alliance Recovery Group",13
"Executive Title Company",1
"Universal Finance, Inc.",7
"SOUTHPOINT FINANCIAL SERVICES, INC.",5
"Vargo & Janson PC",8
"Endeavor Capital, LLC",4
"ONTARIO AUTO LENDING",1
"Hopkins Financial Services, Inc.",1
"Panorama Mortgage Group, LLC",27
"Wolcott Rivers Gates, PC",2
"Ignite Revenue, Inc.",6
"The Dunning Law Firm APC",2
"Financial Solutions of America Inc.",2
"Buckles & Buckles, P.L.C.",4
"DRIVEiT Holdings, Inc.",5
"Collexx, Inc.",2
"Expedite Financial, Inc",7
"Alacrity Collections Corporation",4
"NORTHSTAR EDUCATION FINANCE INC",5
"UNIFOUR FINANCIAL SERVICES, LLC",6
"Northwest Title Company",2
"Law Office of Rory W. Clark, APLC",14
"First County Mortgage, LLC",1
"CARDPLATFORMS LLC",2
"LN CAPITAL CORP.",1
"iMove Mortgage, LLC",1
"Viceroy, Inc.",1
"Bit Express, LLC",1
"SHARP COLLECTIONS, INC",2
"Figure Technologies, Inc",9
"Pluese, Becker & Saltzman, LLC",5
"USA Service Finance LLC",4
"Granite Law Group, PLLC",1
"CITYWIDE HOME LOANS",1
"1st Portfolio Holding Corporation",1
"FALONI & ASSOCIATES, LLC",3
"Equity Now Inc.",2
"Angel Oak Home Loans LLC",2
"U.S. IMPACT, INC.",1
"Escrow Inc",3
"Prosper Law Group",1
"Pioneer Law Firm, P.C.",6
"Columbia Credits, Inc",4
"The Law Office of Edwin B. Parry",11
"Security Credit Corporation",2
"Genessee Financial",3
"River City Finance Co., Inc.",1
"TEAM USA MORTGAGE L.L.C.",4
"Volunteer Mortgage Inc",2
"Law Offices of Timothy M. Sullivan",12
"Merriman Investments, LLC",4
"Aqua Finance, Inc.",104
